Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
40,0,20.89,35.4,17.76,39.1633333333333,20.29,36.9
90,10,21.89,53.1,21.29,45.36,21.6333333333333,49.2266666666667
50,0,21.39,35.5,17.6333333333333,40.53,21.6666666666667,35.2
50,0,21.39,41.0333333333333,23.89,34.84,22.0333333333333,36.9333333333333
70,0,19.9633333333333,35.1266666666667,16.4633333333333,40.1266666666667,20.0,36.4
120,10,22.5,44.6966666666667,20.89,40.59,22.29,38.26
120,10,19.39,36.7,16.89,39.9,19.79,36.6266666666667
70,0,22.0,40.4666666666667,20.6,40.4,24.2,37.3266666666667
50,0,21.89,43.09,19.5,44.73,23.5,40.79
70,20,20.1,37.2,17.73,39.1633333333333,20.29,36.59
110,10,22.73,44.1,21.79,40.46,22.0,43.59
70,0,22.0,43.4,21.0,43.5266666666667,23.2,39.59666666666671
100,0,21.39,41.1,19.5,39.83333333333329,21.2,38.7233333333333
110,20,21.5,38.9666666666667,19.7,39.9,20.8233333333333,38.1266666666667
120,0,22.0,38.9,21.1666666666667,37.5,22.5,37.29
50,0,22.1,35.29,18.566666666666695,39.1266666666667,21.6,35.6266666666667
50,0,21.89,42.4666666666667,19.7,45.8266666666667,23.79,40.09
50,0,21.066666666666695,35.5,17.79,38.29,21.5,35.09
30,0,22.1,35.76,19.2,38.2,23.23,37.2
140,20,21.0333333333333,44.5266666666667,20.7,42.09666666666671,21.0,42.6266666666667
60,0,19.1333333333333,39.0,17.5333333333333,40.76,19.89,37.4
60,0,21.2,35.5,19.6,36.59,21.7,35.29
20,0,17.5,41.56,16.5333333333333,42.06,17.89,40.4333333333333
40,0,19.6,46.0,18.79,45.9,19.79,45.2
340,0,23.23,42.43,22.81,37.554,24.7,37.0
70,0,24.5333333333333,46.5,24.39,44.2675,25.7,42.1633333333333
100,0,19.89,38.29,18.125,37.645,20.1,36.76
60,20,20.7,44.79,19.39,45.5675,21.456,41.96
60,0,24.89,47.79,23.4725,48.475,26.4214285714286,43.7
130,0,20.9633333333333,39.4666666666667,18.5333333333333,39.23,21.6,35.43
60,20,22.73,42.1266666666667,20.76,43.03,25.73,40.79
50,0,18.7,39.55,16.79,41.1633333333333,19.9266666666667,37.5
50,0,21.76,36.3633333333333,25.1,30.39,22.6,35.2
80,0,20.79,38.29,19.1,39.9,21.89,35.4
40,0,21.89,46.09,21.0,45.79,23.2,46.29
350,0,20.39,39.9,17.1,46.23,20.79,38.1266666666667
100,10,20.9633333333333,47.26333333333329,20.6,43.1,21.0,42.9
140,10,23.6,49.23,22.1,48.56,25.6,40.4333333333333
50,0,24.79,47.2,22.7,49.29,26.5833333333333,44.5
70,0,21.6,36.4333333333333,19.79,38.3633333333333,22.76,34.2
50,0,25.29,43.09,24.1,42.8633333333333,26.79,39.79
120,0,22.89,42.3633333333333,22.0333333333333,40.7666666666667,23.39,39.7
60,0,25.0,48.0,23.68,48.178,26.29,43.79
50,0,21.5,42.2,20.6666666666667,41.3633333333333,20.89,44.7
50,0,21.5,45.09,20.79,44.2,22.2,44.9
60,0,20.9266666666667,35.6266666666667,19.1,36.9,19.89,36.9125
20,0,21.29,36.1566666666667,18.76,37.59,20.9633333333333,35.26
70,20,23.29,44.9666666666667,22.39,43.9,23.29,45.0
40,0,19.2,39.7,18.0,40.29,19.0,39.5675
60,0,22.0,38.29,19.2,41.4,24.6666666666667,37.3633333333333
60,0,23.39,39.7266666666667,20.815,42.3425,24.79,37.79
330,0,22.6,37.1333333333333,21.2,36.79,23.2,35.29
70,0,22.79,39.2666666666667,21.8566666666667,37.9633333333333,23.0,37.59
50,0,24.39,44.79,22.0,46.745,25.89,42.4
30,10,21.29,39.7,21.86,38.49,22.0,37.09
270,30,21.39,40.4633333333333,20.5,38.0633333333333,22.566666666666695,39.7233333333333
50,0,20.8566666666667,35.56,17.5,39.59,20.2,36.6266666666667
240,0,21.5333333333333,37.05666666666671,20.79,35.6966666666667,22.46,39.4333333333333
50,0,22.0,37.4,18.29,42.59,23.26,37.56
40,0,21.1,35.79,17.79,39.76,21.23,35.4333333333333
20,0,18.89,44.76,18.2,44.59,20.0,45.0
40,0,22.0,44.29,21.2,43.59,21.9144444444444,44.29
60,0,23.1,41.0,20.6,43.7,24.6,39.4
20,0,18.7,43.5,17.79,44.09,19.5,42.8266666666667
60,0,21.0,36.36,19.7,35.56,21.29,36.4666666666667
60,0,22.7,33.56,21.39,33.2,21.5333333333333,34.7
40,0,21.6,47.36,21.0,45.2233333333333,22.1,46.3266666666667
100,0,21.1,38.9333333333333,18.6666666666667,41.26,20.39,37.9333333333333
40,10,21.89,47.09,21.066666666666695,46.56,21.76,46.5
60,30,23.8233333333333,45.8,22.89,43.8266666666667,23.89,45.4
90,0,20.5,36.5666666666667,19.1,36.09,20.1,36.5
50,0,20.9266666666667,41.9666666666667,20.0,41.59,20.79,44.53
70,0,22.79,34.79,20.6333333333333,35.23,22.4266666666667,35.2
50,0,22.29,39.2,19.7,41.59,22.39,38.8266666666667
70,0,21.29,35.2,18.1,39.09,22.7,35.0
60,0,25.2,37.0,26.39,31.6,26.2,37.754
390,20,20.39,43.2666666666667,19.39,43.3633333333333,20.4266666666667,44.23
60,0,20.79,36.29,18.0,39.6266666666667,22.0,36.7
90,0,25.5,49.2,24.8042857142857,47.4,26.2,45.5
80,0,18.89,39.53,17.39,41.5666666666667,20.58,38.29
40,0,20.76,40.53,19.1,40.4,20.245,40.245
150,0,24.29,40.6633333333333,23.7,39.19333333333329,25.2,39.23
60,0,21.29,41.2,20.5,40.5,21.39,42.5
40,0,21.5,36.0,18.79,38.79,20.1666666666667,36.4
50,0,21.5,42.7,20.89,41.6633333333333,23.1,43.06
120,20,22.9266666666667,48.6333333333333,22.6,44.2,22.29,46.8266666666667
60,0,20.89,35.59,17.5666666666667,39.53,20.2,36.56
170,30,20.7,44.79,19.39,45.59,21.39,41.9857142857143
120,10,25.0333333333333,40.2933333333333,23.5,35.87125,23.7,31.745
120,0,22.5333333333333,39.9666666666667,20.89,41.4333333333333,22.1666666666667,38.5
50,0,21.79,37.79,23.2,34.3266666666667,22.7,35.8266666666667
100,20,21.5,41.0,19.79,41.0266666666667,20.8233333333333,41.1566666666667
30,0,19.89,45.5,19.2,44.9666666666667,20.5,44.29
110,0,23.6,33.2,22.5,31.6333333333333,23.1,35.09
90,20,21.4266666666667,39.56,19.7,40.3266666666667,20.745,38.09
60,0,21.39,39.2,18.5,44.2233333333333,22.89,37.06
50,0,23.2,38.03,22.89,36.29,22.79,38.09
40,0,20.1666666666667,37.2,17.3566666666667,40.5,20.7,37.6266666666667
40,0,19.6,43.79,18.89,43.5,19.9633333333333,44.79
110,0,22.79,39.4333333333333,21.7,39.62,24.6,37.3371428571429
90,0,19.4266666666667,36.59,16.79,40.0,19.89,37.09
60,20,23.39,40.03,21.066666666666695,42.5,24.7,38.0
440,20,20.6,40.4,19.566666666666695,40.4333333333333,21.1333333333333,46.1233333333333
80,0,21.76,41.2,19.39,46.26333333333329,22.1,38.23
60,20,21.4633333333333,43.19333333333329,19.7,43.6333333333333,21.2,41.3633333333333
100,20,21.5,40.6633333333333,19.8566666666667,40.9,20.79,41.1566666666667
60,0,21.73,36.09,19.1,38.79,22.0,35.79
60,0,22.79,39.79,20.0,43.3266666666667,23.3233333333333,39.56
130,40,20.23,44.4633333333333,18.0,43.2333333333333,20.1666666666667,38.43
60,0,21.1,43.5,19.566666666666695,44.3266666666667,21.76,42.5
60,0,24.59,51.014,23.9531531531532,49.4693393393393,27.056,45.06
70,20,21.5,41.8266666666667,22.1333333333333,40.4,22.8566666666667,38.4666666666667
90,0,24.6,40.53,22.9633333333333,40.03,25.1666666666667,38.79
90,0,22.1,38.29,19.7,41.1266666666667,22.89,38.2
50,0,21.7,38.76,18.89,42.56,22.39,38.2
110,0,25.6,31.29,26.76,27.4266666666667,25.1,36.03
50,0,22.5333333333333,39.59,20.2,42.06,22.89,39.59
280,0,23.23,39.06,22.6,37.5666666666667,23.8566666666667,41.6566666666667
40,0,19.6,41.03,18.1333333333333,41.7,19.76,40.59
300,10,22.0,43.43,20.79,42.5666666666667,22.5005555555556,47.3305555555556
